author,count
BURGESS Anthony [i.e. WILSON John Burgess],21
BARKER Clive,21
BAUM Vicki,21
BENITEZ Juan José,21
VEBER Pierre,20
WOLF Heinrich,20
WIELAND Christoph Martin,20
STEINBECK John,20
SEUME Johann Gottfried,20
SCHACHT Hjalmar,20
SANDER Ulrich,20
ROTH Philip,20
SCHUMANN Gerhard,20
RENDELL Ruth,20
ROJAS Carlos,20
MÜNCH Ernst Hermann Joseph,20
KOONTZ Dean R.,20
KUNDERA Milan,20
LAMARTINE Alphonse de,20
HESSE Kurt,20
HEIN Alfred,20
BÖHME Herbert,20
ALLISON Tom,20
UPDIKE John,19
ZWEIG Stefan,19
VIZCAINO CASAS Fernando,19
TAGORE Rabindranath,19
WANGENHEIM Franz Theodor,19
SANDERS Lawrence,19
SHAW George Bernard,19
SCIASCIA Leonardo,19
ROHRBACH Paul,19
LOUNTEMIS Menelaos,19
KAERGEL Hans Christoph,19
KONSALIK Heinz G.,19
KOELLREUTTER Otto,19
JÜNGER Ernst,19
KOTZEBUE August Friedrich Ferdinand von,19
HOLT Victoria,19
GORDIMER Nadine,19
GERSDORFF Wilhelmine von,19
DULLER Eduard,19
CUADRA José de la,19
DOS PASSOS John,19
CLAUSEWITZ Carl von,19
CZAJKOWSKI Michal,19
BLOEM Walter,19
BECKER Gottfried Wilhelm,19
WILDE Oscar,18
WELLS Herbert George,18
WERFEL Franz,18
SINGER Isaac Bashevis,18
SCHELLING Friedrich Wilhelm Joseph,18
ROTTECK Carl von,18
RUMPELSTILZCHEN,18
SCHOLTZ Gerhard,18
SADE Donatien Alphonse François de,18
ROLLAND Romain,18
MANN Thomas,18
MOIX Terenci,18
MUNDT Theodor,18
LUDLUM Robert,18
MAHFOUZ Naguib,18
HENRY Tom,18
JACOB Paul L. de [i. e. LACROIX Paul],18
JANIN Jules Gabriel,18
HOPKINS Ellen,18
HUME David,18
GOMBROWICZ Witold,18
ELLENDORF Johann Otto,18
DWINGER Edwin Erich,18
DRESLER Adolf,18
DUMAS Alexandre père,18
CZECH-JOCHBERG Erich,18
EURINGER Richard,18
ARNAULD Antoine [filius],18
BARTELS Friedrich,18
BÖLL Heinrich,18
BECKETT Samuel,18
VIDAL Gore [i.e. BOX Edgar],17
WOOLF Virginia,17
VARGAS VILA José María,17
ZILAHY Lajos,17
WALLACE Bob,17
SCHNEE Heinrich,17
SOUVESTRE Émile,17
SPINOZA Baruch de,17
RABAN Louis-François,17
"REICHSFÜHRER SS, SS-HAUPTAMT",17
REHWALDT Hermann,17
OETTINGER Eduard Maria,17
O'FLAHERTY Liam,17
MARSHALL Bruce,17
MICKIEWICZ Adam,17
MICHENER James Albert,17
LOISY Alfred,17
LEONARD Elmore,17
MANDELSTAM Ossip,17
IMMANUEL Friedrich,17
