author,count
KOONTZ Dean R.,20
KUNDERA Milan,20
LAMARTINE Alphonse de,20
HESSE Kurt,20
HEIN Alfred,20
BÖHME Herbert,20
ALLISON Tom,20
UPDIKE John,19
ZWEIG Stefan,19
VIZCAINO CASAS Fernando,19
TAGORE Rabindranath,19
WANGENHEIM Franz Theodor,19
SANDERS Lawrence,19
SHAW George Bernard,19
SCIASCIA Leonardo,19
ROHRBACH Paul,19
LOUNTEMIS Menelaos,19
KAERGEL Hans Christoph,19
KONSALIK Heinz G.,19
KOELLREUTTER Otto,19
JÜNGER Ernst,19
KOTZEBUE August Friedrich Ferdinand von,19
HOLT Victoria,19
GORDIMER Nadine,19
GERSDORFF Wilhelmine von,19
DULLER Eduard,19
CUADRA José de la,19
DOS PASSOS John,19
CLAUSEWITZ Carl von,19
CZAJKOWSKI Michal,19
BLOEM Walter,19
BECKER Gottfried Wilhelm,19
WILDE Oscar,18
WELLS Herbert George,18
WERFEL Franz,18
SINGER Isaac Bashevis,18
SCHELLING Friedrich Wilhelm Joseph,18
ROTTECK Carl von,18
RUMPELSTILZCHEN,18
SCHOLTZ Gerhard,18
SADE Donatien Alphonse François de,18
ROLLAND Romain,18
MANN Thomas,18
MOIX Terenci,18
MUNDT Theodor,18
LUDLUM Robert,18
MAHFOUZ Naguib,18
HENRY Tom,18
JACOB Paul L. de [i. e. LACROIX Paul],18
JANIN Jules Gabriel,18
HOPKINS Ellen,18
HUME David,18
GOMBROWICZ Witold,18
ELLENDORF Johann Otto,18
DWINGER Edwin Erich,18
DRESLER Adolf,18
DUMAS Alexandre père,18
CZECH-JOCHBERG Erich,18
EURINGER Richard,18
ARNAULD Antoine [filius],18
BARTELS Friedrich,18
BÖLL Heinrich,18
BECKETT Samuel,18
VIDAL Gore [i.e. BOX Edgar],17
WOOLF Virginia,17
VARGAS VILA José María,17
ZILAHY Lajos,17
WALLACE Bob,17
SCHNEE Heinrich,17
SOUVESTRE Émile,17
SPINOZA Baruch de,17
RABAN Louis-François,17
"REICHSFÜHRER SS, SS-HAUPTAMT",17
REHWALDT Hermann,17
OETTINGER Eduard Maria,17
O'FLAHERTY Liam,17
MARSHALL Bruce,17
MICKIEWICZ Adam,17
MICHENER James Albert,17
LOISY Alfred,17
LEONARD Elmore,17
MANDELSTAM Ossip,17
IMMANUEL Friedrich,17
LAMENNAIS Hugues Félicité Robert de,17
HUXLEY Aldous,17
KABISCH Ernst,17
GEBHARDT Florentine,17
FARUQI Saadia,17
FLAUBERT Gustave,17
GENET Jean,17
GRAVES Robert,17
FOSCOLO Ugo,17
CAMUS Albert,17
COCHEM Martin von,17
DÜRRENMATT Friedrich,17
DO Anh,17
CAMPE Joachim Heinrich,17
BURKE James Lee,17
BOBBIO Norberto,17
BRIGHT Susie,17
BOCCACCIO Giovanni,17
WEBERSTEDT Hans,16
VACHSS Andrew,16
VICENT Manuel,16
SWEDENBORG Emanuel,16
SALISACHS Mercedes,16
ROTH Joseph,16
SCHLEIERMACHER Friedrich,16
SCHAUWECKER Franz,16
RUSHDIE Salman,16
RUSSELL Bertrand,16
SIERRA I FABRA Jordi,16
PARKER Victoria,16
PARKER Robert B.,16
QUESNEL Pasquier,16
NORO Fred,16
MEERKATZ Albert,16
LESSING Doris,16
MEIER Georg Friedrich,16
LAUBE Heinrich,16
MORRISON Toni,16
LUSTBADER Eric van,16
MACBAIN Ed [i.e. HUNTER Evan],16
MAMIANI DELLA ROVERE Terenzio,16
KÜNG Hans,16
KINDERMANN Heinz,16
LAMENNAIS Félicité Robert de,16
KESSEL Joseph,16
JULES Jacqueline,16
HAUSER Otto,16
GALLETTI Johann Georg August,16
GALSWORTHY John,16
HAUSHOFER Karl,16
GIOBERTI Vincenzo,16
DIETRICH Ewald,16
COOK Robin,16
CRAMER Carl Gottlob,16
BURGDÖRFER Friedrich,16
BURROUGHS William S.,16
CALDWELL Erskine,16
DINOCOURT Théophile,16
COLLINS Jeff,16
ALBA Víctor,16
ARAGON Louis [i.e. ANDRIEUX M. Louis],16
ALBERTI Rafael,16
ALBRECHT Johann Friedrich Ernst,16
BARTHEL Max,16
ARNOUX Alexandre,16
ZWETAJEWA Marina Iwanowna,15
WULLE Reinhold,15
WAGNER Richard,15
SZCZYPIORSKI Andrzej,15
WASSERMANN Jakob,15
VALLEJO Boris,15
WALTARI Mika,15
SANDFORD John,15
SCHELHASSE Heinrich Franz Alex,15
SHAW Irwin,15
NIN Anaïs,15
RITSOS Giannis,15
PILNJAK Boris,15
ÖCALAN Abdullah,15
PAGNOL Marcel,15
REEG Will,15
RONGE Johannes,15
PROUST Marcel,15
MAURIER Daphne du,15
LAYMON Richard,15
MAJAKOWSKI Wladimir Wladimirowitsch,15
LASPLASAS Francisco,15
LEWIS Sinclair,15
LELEWEL Joachim,15
KÖSTER Karl,15
KAHLE Maria,15
HENZE Carl Gustav Paul,15
KLASSEN Ben,15
JOYCE James,15
FERNAN-GOMEZ Fernando,15
GREELEY Andrew M.,15
HANDKE Peter,15
DIETRICH Paul Johann,15
ECO Umberto,15
DOMBROWSKIJ Jurij Ossipowitsch,15
CALVINO Italo,15
CIERVA Ricardo de la,15
ANOUILH Jean,15
AKADIMIA EPISTIMON ESSD,15
BARTHÉLEMY Auguste Marseille,15
ASTURIAS Miguel Angel,15
BLEY Wulf,15
BEVILACQUA Alberto,15
BLUNCK Hans Friedrich,15
BIAGI Enzo,15
BOEHM Max Hildebert,15
BITOV Andrei Georgiyevich,15
BRODSKY Joseph Alexandrowitsch,15
BALTHASAR Hans Urs von,15
BALDWIN James,15
VILARD Roger,14
WALDEYER-HARTZ Hugo von,14
VALENTI Ernst Joseph Gustav de,14
WEHNER Josef Magnus,14
WILSON Colin,14
SALOMON Ernst von,14
STAHMANN Friedrich,14
SIMMEL Johannes Mario,14
SOLDATI Mario,14
REICHSNÄHRSTAND,14
PUDOR Heinrich,14
ORTLEPP Ernst,14
PEREZ DE AYALA Ramón,14
RÖHR Johann Friedrich,14
PAPINI Giovanni,14
OFFEL Horace van,14
REGNAULT-WARIN Jean-Baptiste-Joseph,14
RAU Heribert,14
RAMUZ Charles Ferdinand,14
PRÉVERT Jacques,14
MIEDOSO Andrés,14
LEZIUS Martin,14
LOCKE John,14
MEYER-ERLACH Wolf,14
LENZ Hermann,14
LAUKHARD Friedrich Christian,14
IONESCO Eugène,14
IBSEN Henrik,14
KOESTLER Arthur,14
HILDEBRAND Theodor,14
HOLLANDER Xaviera,14
HAGEN Peter,14
FONSECA Tomás da,14
FROMM Erich,14
GOYTISOLO Luis,14
HADLEY CHASE James,14
HAMMOND,14
GAUTIER Théophile,14
HÄRING Bernhard,14
FERNANDEZ SANTOS Jesús,14
GHEORGHIU Constantin Virgil,14
GOMEZ DE LA SERNA Ramón,14
EHRENBURG Ilja Grigorjewitsch Илья́ Григо́рьевич Эренбу́рг,14
ELLROY James,14
CLANCY Tom,14
COLLINS Jackie,14
DULAURE Jacques-Antoine,14
ESLAVA GALAN Juan,14
DUMOURIEZ Charles François Du Périer,14
DEIGHTON Len,14
DES CARS Guy,14
ARNAULT Antoine Vincent,14
BEAUVOIR Simone de,14
AUB Max,14
BANSE Ewald,14
AICARD Jean,14
AMIEL Denys,14
BELLOW Saul,14
AUGIER Emile,14
BLUME Judy,14
BERNHARD Thomas,14
VILLENA Luis Antonio de,13
VAUDOYER Jean-Louis,13
ZIEGLER Wilhelm,13
WESTPHAL Carl,13
YERBY Frank,13
VERHAEREN Emile,13
TAMBURINI Pietro,13
WOODS Teri,13
TAMAMES Ramón,13
VICKERS Robert,13
TYLER Alison,13
THOMPSON Mark,13
STALIN Joseph [Иосиф Виссарионович Сталин],13
STIEVE Friedrich,13
SCHNITZLER Arthur,13
SAVATER Fernando,13
STAËL Germaine de [i. e. STAËL-HOLSTEIN Anne-Louise-Germaine Baronin von],13
SCHMITT Gustav,13
STEVENS Harry,13
SCHMITTHENNER Paul,13
SPINDLER Carl,13
PAUST Otto,13
ROCABERTI Hipolita,13
OBEY André,13
PURZELBAUM Peter,13
PALLMANN Gerhard,13
PEYREFITTE Roger,13
RAUMER Friedrich von,13
REISCHLE Hermann,13
LANSDALE Joe R.,13
LLORENTE Juan Antonio,13
MÜLLER Heinrich,13
MACHIAVELLI Niccolò,13
MALAPARTE Curzio [i.e. SUCKERT Kurt],13
MADARIAGA Salvador de,13
MAUGHAM William Somerset,13
MUTIS Alvaro,13
MACDONALD Ross [i.e. MILLAR Kenneth],13
LEONARD Ted,13
MURDOCH Iris,13
MANTEGAZZA Paolo,13
MARCEL Gabriel,13
MANGELSDORF Karl Ehregott,13
JAMES George Payne Rainsford,13
JOHNSON Paul,13
HÖHN Reinhard,13
JAKUBOWSKI Maxim,13
KAFKA Franz,13
HEISS Friedrich,13
LANGBEIN August Friedrich Ernst,13
LAIN ENTRALGO Pedro,13
KLÄHN Friedrich Joachim,13
JERRER Georg Ludwig [i. e. MEYNIER Johann Heinrich],13
HASE Karl von,13
FINK Fritz,13
FOLLET Ken,13
FISCHER Hans,13
FEUCHTWANGER Lion,13
HABE Hans,13
FRANK Walter,13
GROß-HOFFINGER Anton Johann,13
DIDIER Charles,13
COLETTE Sidonie Gabrielle,13
CLARKE Arthur Charles,13
CALLE Ramiro A.,13
DURRELL Lawrence,13
DESCARTES René,13
CASSOLA Carlo,13
BUKOWSKI Charles,13
BROMFIELD Louis,13
BAHRDT Carl Friedrich,13
BAYLE Pierre,13
BARDA J. H. [i. e. BÖCKEL Johann Heinrich],13
BLANC Ludwig Gottfried,13
ARON Raymond,13
ARPINO Giovanni,13
ANACKER Heinrich,13
BIOY CASARES Adolfo,13
BAUER Bruno,13
TRAIN Joseph Karl von,12
WETTE Wilhelm Martin Leberecht de,12
WILLIAMS Tennessee,12
WEDEL Hasso von,12
TRACHTENBERG Jakow,12
TRAZ Robert de,12
TROCCHI Alexander,12
VILMORIN Louise de,12
STEIN Adolf,12
SCHAFFNER Jakob,12
STRAUB Peter,12
SCHUDEROFF Johann Georg Jonathan,12
STEGUWEIT Heinz,12
ROY Claude [i.e. ORLAND Claude],12
SALVADOR Tomás,12
SPILLANE Mickey,12
STAUF VON DER MARCH Ottokar,12
SANTO-DOMINGO Joseph Hippolyte de,12
SARPI Paolo,12
ROSNY Aîné [i.e. BOEX Joseph Henri],12
RICHARD-BESSIERE François,12
ROBERTS Nora,12
RINSER Luise,12
PIEYRE DE MANDIARGUES André,12
PAVESE Cesare,12
ORIEUX Jean,12
RICHTER Friedrich,12
PUFENDORF Samuel von,12
PRIESTLEY John Boynton,12
PORCEL Baltasar,12
OTTO Friedrich Karl,12
OELCKERS Theodor,12
PUERTOLAS Soledad,12
PUIG Manuel,12
PUGET Claude-André,12
PAULUS Heinrich Eberhard Gottlob,12
REMARQUE Erich Maria,12
MYRACLE Lauren,12
MARTIN VON COCHEM,12
MUJICA LAINEZ Manuel,12
MEERSCH Maxence VAN DER,12
MALRAUX André,12
LEFEBVRE Henri,12
MORGAN Lady,12
MICHELET Jules,12
MÜLLER Gustav,12
MADRID Juan de,12
MUÑOZ MOLINA Antonio,12
MARSE Juan,12
LE CARRÉ John [i.e. CORNWELL David John Moore],12
HERNANDEZ Ramón,12
ISTRATI Panaït,12
JUNG Rudolf,12
KOHL Hermann,12
KINDLER Otto,12
KAUTSKY Karl Johann,12
JURIEU Pierre,12
KIRST Hans Hellmut,12
LA METTRIE Julien Offray de,12
JAMES Phyllis Dorothy,12
IRVING John,12
HEYNIG Johann Gottlob,12
KRANTZ Judith,12
HOEPPENER-FLATOW Wilhelm,12
JIMENEZ LOZANO José,12
JASPERS Karl,12
HANSEN Henrich,12
FISCHER Christian August,12
GORKY Maxim [Максим Горький],12
GOES Gustav,12
FREYTAG-LORINGHOVEN Hugo von,12
GUIZOT François Pierre Guillaume,12
GIGER H. R.,12
ELSNER Heinrich,12
DITTMER Hans,12
DELAVIGNE Casimir,12
CARPENTIER Alejo,12
EGLOFFSTEIN Adalbert Heinrich Carl Johann Nepomuk,12
CARR Philippa [i.e. HOLT Victoria],12
CRONIN Archibald Joseph,12
CASALS ALDAMA Pedro,12
DINTER Gustav Friedrich,12
CAST P. C.,12
DUBY Georges,12
CASTELLANETA Carlo,12
CLEMENS Friedrich,12
CRÉBILLON Claude Prosper Jolyot de,12
BOCHOW Martin,12
BROWN Raymond E.,12
BONAPARTE Napoléon Louis,12
BARTHES Roland,12
BLUMENHAGEN Wilhelm,12
BUCHHOLZ Friedrich,12
BÖHME Jakob,12
BENET Juan,12
BROWN Frank,12
BLACHETTA Walther,12
ADLER Hermann,12
BRYCE ECHENIQUE Alfredo,12
URIS Leon Marcus,11
VAZQUEZ-RIAL Horacio,11
ZANE,11
TORBADO Jesús,11
TIEFTRUNK Johann Heinrich,11
THIEß Johann Otto,11
VIDAL GARCIA Marciano,11
SCHLENKERT Friedrich Christian,11
SERPIERI Paolo,11
SAINT-LAURENT Cécil [i.e. LAURENT Jacques],11
SCHMITT Carl,11
STERNE Laurence,11
SIMONEIT Max,11
SAMPEDRO José Luis,11
RUGE Arnold,11
STAPEL Wilhelm,11
SCHWARZ Hermann,11
SCHREIBER Alois Wilhelm,11
SAROYAN William,11
SCHILLING Gustav,11
SCHLEGELBERGER Franz,11
RULE Ann,11
SÉGUR Joseph-Alexandre Pierre de,11
PERI ROSSI Cristina,11
PUTNAM Hilary,11
PETERS Robyn,11
RICHE Daniel,11
PUZO Mario,11
RICHEPIN Jean,11
PERRET Jacques,11
PERRAULT Gilles,11
PETITHUGUENIN Jean,11
RIEBICKE Otto,11
NÖSTLINGER Christine,11
RIEM Andreas,11
PIAGET Jean,11
PAINE Thomas,11
PEROCHON Ernest,11
PRICE Richard,11
PRATOLINI Vasco,11
MORAND Paul,11
MARINI Giovanni Baptista,11
LOPEZ ARANGUREN José Luis,11
LONDON Jack,11
MARX Karl; ENGELS Friedrich,11
NEMIROVSKY Irene,11
MISHIMA Yukio [i.e. HIRAOKA Kimitake],11
LUJAN Néstor,11
MONTERO Rosa,11
LOUYS Pierre,11
MOORE Brian,11
MARIAS Julián,11
KATTERFELD Anna,11
HERZOG Rudolf,11
HERDER Johann Gottfried von,11
HOLT Mike,11
HUTTEN Ulrich von,11
HEINZEN Karl,11
HERBERT James,11
HELKE Fritz,11
KORDATOS Ioannis,11
IMMERMANN Karl,11
GUERRA GARRIDO Raúl,11
HAILEY Arthur,11
FERRATER MORA José,11
FEUERBACH Ludwig Andreas,11
HASSEL Sven [i.e. PETERSEN B. V. R.],11
GOOTE Thor,11
FORSTNER Georg-Günther von,11
GALBRAITH John Kenneth,11
HAANEN Karl Theodor,11
GALLOIS Léonard Charles André Gustave,11
HANSTEIN Otfrid von,11
GANZER Karl Richard,11
FREIRE Paulo,11
GROTIUS Hugo,11
GRÜNAGEL Friedrich,11
BUNGE Mario,11
DUHAMEL Georges,11
BURCKHARDT Eduard,11
CICOGNA Michele,11
DUSSEAU Lizbeth,11
ENGLISCH Paul,11
CLAUREN Heinrich [i. e. HEUN Johann Gottlieb Samuel Carl],11
ENNIS Garth,11
COELHO Paulo,11
DANINOS Pierre,11
DUPIN Louis Ellies,11
DEFOE Daniel,11
COLBERG Erich,11
CIORAN Emile M.,11
CHOWNITZ Julian Feodor Joseph,11
DETTMANN Hans Eduard,11
CUNNINGHAM E. V. [i.e. FAST Howard M.],11
BRANDT Rolf,11
BOFF Leonardo,11
AVEMARIE Friedrich,11
ALFIERI Vittorio Enzo,11
BALLARD J. G.,11
ABRANTÈS Laure Junot d',11
BRISKIN Jacqueline,11
ARETINO Pietro,11
AZUA Félix de,11
BAUER Georg Lorenz,11
BACHERER Gustav,11
BAUER Heinrich,11
BORDEAUX Henry,11
BROWN Sandra,11
BREDOW Gabriel Gottfried,11
ALEGRIA Ciro,11
AMMANN Franz Sebastian,11
BIGNON Louis Pierre Édouard,11
VOß Johann Heinrich,10
THOMAS Dylan Marlais,10
WOLFF Oskar Ludwig Bernhard,10
WRIGHT Richard,10
WILLKOMM Ernst,10
VITTORINI Elio,10
WITTE Aegidius de,10
TOMEO Javier,10
VOIGT Bernhard,10
WEISS Louis,10
WEBER Max,10
VILAR Pierre,10
VARNALIS Kostas,10
VILLALONGA Lorenzo,10
WEIL Simone,10
TRESMONTANT Claude,10
SCHUSELKA Franz,10
SCHIDROWITZ Leo,10
ROSNY J. H. [i.e. BOEX Justin; BOEX Joseph],10
SIMON Richard,10
RUIZ DE LA PEÑA Juan Luis,10
SEMPRUN Jorge,10
SILONE Ignazio,10
STANDISH Robert [pseud.],10
STEINHARDT Julius,10
SUPF Peter,10
SARAMAGO José,10
SCHILLING Heinar,10
STONE Irving,10
SULLIVAN Vernon [i.e. VIAN Boris],10
SCHEFER Leopold,10
SCHOTT Georg,10
SULIVAN Jean,10
SIX Franz Alfred,10
SEHER Karl,10
SHARPE Tom,10
RICHAUD André de,10
OVID [P. OVIDIUS NASO],10
ROBERT-DUMAS Charles,10
NIEDERMAYER Oskar von,10
RELLSTAB Ludwig,10
O'HARA John,10
RICHTER Hans,10
PALAHNIUK Chuck,10
ROGGE Heinrich,10
POTTER Louis Joseph Antoine de,10
PERICH Jaume,10
PRAETORIUS Johannes,10
PERSIN DE MONTGAILLARD Pierre-Jean-François DE,10
PALOMINO Angel,10
RICHEBOURG Emilio,10
OERTZEN Friedrich Wilhelm von,10
PHILIPPE Charles Louis,10
PATTERSON Richard,10
ROD Edouard,10
ONETTI Juan Carlos,10
ROIG Montserrat,10
QUINET Edgar,10
PAALZOW Christian Ludwig,10
RAYMOND Michel [i. e. BRUCKER Raymond],10
MORRELL David,10
MILL John Stuart,10
MENDOZA Eduardo,10
MANN Heinrich,10
LEE Bruce,10
MARAINI Dacia,10
MUSSET Alfred de,10
LATOUCHE Henri de,10
LE ROY Edouard,10
MARHEINEKE Philipp Konrad,10
MILLAS Juan José,10
LOREN Santiago,10
LICHTENSTAEDTER Siegfried,10
LOTI Pierre [i.e. VIAUD Julien],10
MÜGGE Theodor,10
MARTIN GAITE Carmen,10
MATUTE Ana María,10
NEWTON Michael,10
KUNTZE Paul Heinrich,10
IKOR Roger,10
KHROUCHTCHEV Nikita,10
JOHNSON Keith Lee,10
HIESS Josef,10
KREBS Julius,10
HOERNER-HEINTZE Suse von,10
JAENSCH Erich Rudolf,10
IHDE Wilhelm,10
KUMMER Bernhard,10
HUBER Ernst Rudolf,10
JAKES John,10
JACOB Ernst Gerhard,10
HELLWIG Gerhard,10
JENNINGS Gary,10
FOTIADIS Dimitris,10
FERRERO Jesús,10
HALLER Carl Ludwig von,10
FORSTER Edward Morgan,10
HAUPT-HEYDEMARCK Georg,10
GRIMM Jacob; GRIMM Wilhelm,10
GENLIS Stéphanie-Félicité Du Crest,10
GOLDING William Gerald,10
HAMSUN Knut,10
FEßLER Ignaz Aurelius,10
HEINICHEN [d. i. BERGK Johann Adam],10
GIOJA Melchiorre,10
FRIDAY John,10
GINZBURG Natalia,10
HABERMAS Jürgen,10
GUDENUS Eduard,10
FENNER Cathy,10
GUÉRIN Eugène-Louis,10
GEORGE Elizabeth,10
FLEMING Ian,10
GOZLAN Léon,10
GUERRAZZI Francesco Domenico,10
FRANKE Heinz,10
GIONO Jean,10
FREYTAGH-LORINGHOVEN Axel von,10
GAUDY Franz von,10
FIELDING Joy,10
FOGAZZARO Antonio,10
GAIMAN Neil,10
GIOIA Melchiorre,10
DIETZ Heinrich,10
CANNABICH Gottfried Christian,10
DAUMER Georg Friedrich,10
CLELAND John,10
ELLIS Bret Easton,10
CANNON Jason,10
DURÁN Carlos,10
DORAT Claude Joseph,10
BUONAIUTI Ernesto,10
DREISER Theodore,10
EICHHORN Johann Gottfried,10
EVELY Louis,10
CHÉNIER Marie Joseph Blaise de,10
FABRICIUS Hans,10
CHRISTOPHÉ Eduard Curt,10
ESTAUNIE Edouard,10
D'AGRAIVES Jean,10
BROWN Monica,10
BATHE Rolf,10
BOROS Ladislaus,10
AUSTER Paul,10
BARGINET Alexandre de Grenoble,10
BECHSTEIN Ludwig,10
ARMONT Paul,10
BECK Friedrich Alfred,10
BERGK Johann Adam,10
BODE Rudolf,10
BREHM Bruno,10
ALLENDE Isabel,10
ALDISS Brian W.,10
ARISTOPHANES,10
BAZIN Hervé [i.e. HERVE-BAZIN Jacques],10
BENEDETTI Mario,10
AJAR Emile [i.e. GARY Romain],10
BECKER Alfred,10
BEHRAM Nihat,10
ALVENSLEBEN Ludwig von,10
