author,count,all_works_forbidden,multiple_works_forbidden,Afghanistan,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Bhutan,Bosnia and Herzegovina,British Indian Ocean Territory,Brunei,Canada,Central African Republic,Chile,China,Colombia,Croatia,Cuba,Czechia,Denmark,Djibouti,Egypt,Eritrea,Estonia,Ethiopia,France,Georgia,Germany,Greece,Hungary,India,Iran,Iraq,Ireland,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Malaysia,Maldives,Mali,Mauritania,Moldova,Montenegro,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Serbia,Slovenia,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Syria,Tajikistan,Tanzania,Thailand,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Vatican,Vietnam,Yemen,(blank)
JEWISH-CHRISTIAN ORIGIN,52,FALSE,FALSE,1,1,,,,,,1,1,,1,,,1,,1,,1,1,,1,,,1,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,1,1,,1,,1,,1,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,,,,1,,,1,,,,1,1,1,1,1,,1,1,1,,1,,,1,,1,1,
LANZ-LIEBENFELS Jörg,51,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOSTOEVSKY Fyodor Mikhailovich [Фёдор Михайлович Достоевский],49,FALSE,FALSE,,,1,2,,,2,,,2,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,13,,,2,,,2,,2,,,,2,,,,,2,,,,,,,,,,,,,,,,1,,,3,,,,,,,1,,,,2,,,,2,2,2,,,,2,,,,
PUSHKIN Alexander Sergeyevich [Александр Серге́евич Пу́шкин],48,FALSE,FALSE,,,,3,,,3,,,3,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,3,,,3,,3,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,3,,,,,3,3,,,,3,,,,
CORTAZAR Julio,48,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
EASTWOOD Nick,46,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,
ROUSSEAU Jean-Jacques,45,FALSE,FALSE,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
KING Stephen,45,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
GUMILYOV Nikolay,45,FALSE,FALSE,,,,3,,,3,,,3,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,3,,,3,,3,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,3,3,,,,3,,,,
ORWELL George,42,FALSE,FALSE,,,,2,2,,2,,,2,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,7,,,2,,,2,,2,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,2,2,1,,2,2,,,,
